,install_time,event_time,appsflyer_id,media_source,campaign,platform,event_name,event_revenue,event_revenue_usd
26,2020-05-19 14:06:26,2020-06-04 12:49:07,1589891951334-9221541,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,12.99,1.927881
27,2020-05-30 18:06:49,2020-06-04 12:49:22,1590862008066-1101690328721675721,Facebook Ads,doz_ak_andr_WW_lkl_1%_m_18-40_purch_10$,android,af_purchase,1.59,1.791541
28,2020-05-29 15:16:20,2020-06-04 12:50:09,1590763697313-3412373,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_iOS_campaign-opt_purch-opt,ios,af_purchase,230,7.691664
29,2020-06-03 12:11:58,2020-06-04 12:50:14,1591186316668-6097713534955453265,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,899,2.941504
30,2020-05-29 15:16:20,2020-06-04 12:54:08,1590763697313-3412373,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_iOS_campaign-opt_purch-opt,ios,af_purchase,230,7.690636
31,2020-04-04 14:16:50,2020-06-04 12:54:16,1586008118697-3241266,googleadwords_int,iOS IT all-lang actions first_buy,ios,af_purchase,11.99,13.469383
32,2020-06-02 21:05:05,2020-06-04 12:54:32,1591131751425-8220516,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_iOS_ad-set-opt_value-opt_all-in-1,ios,af_purchase,4.99,6.256449
33,2020-05-30 18:06:49,2020-06-04 12:55:22,1590862008066-1101690328721675721,Facebook Ads,doz_ak_andr_WW_lkl_1%_m_18-40_purch_10$,android,af_purchase,13.99,15.668662
34,2020-05-28 13:42:43,2020-06-04 12:56:14,1590672985445-6486652,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,ios,af_purchase,860,7.901434
35,2020-06-04 12:58:27,2020-06-04 12:59:24,1591275502838-4299741117569940157,bluestacks_int,DOZ_gp_KR,android,af_purchase,2600,2.135708
36,2020-06-03 21:35:12,2020-06-04 13:02:13,1591220110872-8271991647317866305,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_Andr_ad-set-opt_value-opt_all-in-1,android,af_purchase,4.19,4.706982
37,2020-06-13 08:03:41,2020-06-13 13:57:13,1592035417989-3027093503173609872,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_ad-set-opt_purch-opt_all-in-1,android,af_purchase,25.99,16.73561
38,2020-05-02 08:07:46,2020-06-13 14:00:32,1588406864003-7042456870321595460,Facebook Ads,doz_ak_andr_WW_lkl_1%_m_18-40_purch_10$,android,af_purchase,21000,1.4771
39,2020-06-08 15:08:25,2020-06-13 14:02:27,1591628900169-3879541014388589103,googleadwords_int,Android WW roas,android,af_purchase,1.89,2.127272
40,2020-06-01 01:48:32,2020-06-13 14:07:28,1590935703764-3464241,Facebook Ads,DOZ_iOS_lkl-1_purch_val-based_ad-set-opt_purch-opt_all-in-1,ios,af_purchase,3.99,3.99
41,2020-06-10 14:23:59,2020-06-13 14:07:40,1591799037769-4306336914612576587,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_all-OS_ad-set-opt_purch-opt,android,af_purchase,270,2.514821
42,2020-06-13 14:03:23,2020-06-13 14:08:05,1592057000786-5437529277459762691,Facebook Ads,doz_ak_andr_Tier-1_lkl_1%_m_18-40_purch_10$,android,af_purchase,2.59,2.91515
43,2020-06-13 14:03:23,2020-06-13 14:13:17,1592057000786-5437529277459762691,Facebook Ads,doz_ak_andr_Tier-1_lkl_1%_m_18-40_purch_10$,android,af_purchase,14.99,16.871853
44,2020-06-13 04:49:32,2020-06-13 14:16:36,1592022622295-7289469,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,ios,af_purchase,10.99,2.992105
45,2020-03-25 13:14:23,2020-06-13 14:22:29,1585139466315-0791644,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,75,1.075397
46,2020-06-07 21:16:23,2020-06-13 14:38:45,1591564579953-2985644856100060503,Facebook Ads,doz_ak_andr_Tier-1_lkl_1%_m_18-40_purch_10$,android,af_purchase,1.69,1.69
47,2020-06-13 10:06:58,2020-06-13 14:41:23,1592042815380-1600751789338023288,restricted,,android,af_purchase,5000,4.153618
48,2020-05-27 12:13:10,2020-06-13 14:43:21,1590579435527-8824011,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_ad-set-opt_purch-opt_all-in-1,ios,af_purchase,2.99,2.99
49,2020-06-13 12:29:06,2020-06-13 14:44:28,1592051345427-6254661092878445145,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,3.69,4.628921
50,2020-03-31 10:23:36,2020-06-13 14:45:32,1585650083279-4619494,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,2.29,2.577488
51,2020-05-17 04:08:29,2020-06-13 14:46:24,1589680232985-9089561,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,459,6.581428
52,2020-06-12 12:51:04,2020-06-13 14:46:30,1591965915042-1374284,restricted,,ios,af_purchase,730,6.799331
53,2020-06-13 04:56:49,2020-06-13 14:48:31,1592022766535-9561078,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,ios,af_purchase,75,1.075397
54,2020-06-11 13:53:08,2020-06-13 14:49:11,1591883585184-1871754054277370083,googleadwords_int,Android WW roas,android,af_purchase,1.39,1.743686
55,2020-04-23 01:26:34,2020-06-13 14:49:21,1587596130903-5640037,Facebook Ads,doz_ak_US_lkl-1%_m_18-40_purch_10$,ios,af_purchase,1.99,1.99
56,2020-06-05 14:55:57,2020-06-13 14:52:15,1591368948989-7978539248530925332,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,89,1.276138
57,2020-06-10 15:25:42,2020-06-13 14:55:26,1591802738277-3435197596052166325,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,android,af_purchase,79,1.132751
58,2020-05-24 15:17:31,2020-06-13 14:56:07,1590321176397-9018634,Facebook Ads,DOZ_iOS_lkl-1_purch_val-based_ad-set-opt_purch-opt_all-in-1,ios,af_purchase,0.99,0.99
59,2020-06-10 23:32:26,2020-06-13 14:56:14,1591824304195-6212573,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_ad-set-opt_purch-opt_all-in-1,ios,af_purchase,7.99,7.99
60,2020-06-10 15:25:42,2020-06-13 14:57:28,1591802738277-3435197596052166325,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,android,af_purchase,129,1.849682
61,2020-06-12 08:28:25,2020-06-13 14:57:40,1591939532780-8494089,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,45000,3.165214
62,2020-06-12 02:55:52,2020-06-13 14:58:01,1591930330306-0593614,Facebook Ads,DOZ_iOS_lkl-1_purch_val-based_campaign-opt_purch-opt,ios,af_purchase,89,2.872675
63,2020-06-10 14:23:59,2020-06-13 14:59:30,1591799037769-4306336914612576587,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_all-OS_ad-set-opt_purch-opt,android,af_purchase,660,6.147341
64,2020-05-23 19:43:54,2020-06-13 15:03:19,1590263031337-2178852278690328020,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,1.09,1.226839
65,2020-03-08 21:08:32,2020-06-13 15:06:19,1583701661275-2601829,googleadwords_int,iOS US actions first_buy new,ios,af_purchase,14.99,14.99
66,2020-06-07 14:13:23,2020-06-13 15:06:22,1591539101669-3433194,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,ios,af_purchase,1.99,1.99
67,2020-06-07 18:59:20,2020-06-13 15:06:42,1591546404260-4835414,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_ad-set-opt_value-opt_all-in-1,ios,af_purchase,2.29,2.577488
68,2020-06-12 12:51:04,2020-06-13 15:07:00,1591965915042-1374284,restricted,,ios,af_purchase,4280,39.864572
69,2020-06-12 17:24:26,2020-06-13 15:07:27,1591982566287-4345452,Facebook Ads,DOZ_iOS_lkl-1_purch_val-based_campaign-opt_purch-opt,ios,af_purchase,3.99,3.99
70,2020-05-27 00:56:56,2020-06-13 15:10:32,1590527662539-7590422,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_ad-set-opt_purch-opt_all-in-1,ios,af_purchase,1.99,1.99
71,2020-03-08 21:08:32,2020-06-13 15:11:18,1583701661275-2601829,googleadwords_int,iOS US actions first_buy new,ios,af_purchase,8.99,8.99
72,2020-06-05 09:56:17,2020-06-13 15:11:52,1591350978682-3593604424403544042,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_all-OS_ad-set-opt_value-opt_all-in-1,android,af_purchase,1.59,1.994576
73,2020-06-13 12:42:33,2020-06-13 15:13:27,1592052005581-0929145,Facebook Ads,doz_ak_US_lkl-1%_m_18-40_purch_10$,ios,af_purchase,1.99,1.99
74,2020-06-13 12:42:33,2020-06-13 15:13:27,1592052005581-0929145,Facebook Ads,doz_ak_US_lkl-1%_m_18-40_purch_10$,ios,af_purchase,1.99,1.99
75,2020-06-08 22:03:28,2020-06-13 15:13:28,1591653806936-4542658469514924246,googleadwords_int,Android WW roas,android,af_purchase,6.49,7.304758
76,2020-06-10 03:32:54,2020-06-13 15:15:24,1591759970869-1435966159887789890,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,79,2.66502
77,2020-06-10 03:32:54,2020-06-13 15:16:25,1591759970869-1435966159887789890,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,79,2.66502
78,2020-04-04 18:20:06,2020-06-13 15:17:19,1586024463229-9154893948915743010,Facebook Ads,doz_ak_andr_WW_lkl_1%_m_18-40_purch_10$,android,af_purchase,299,4.287249
79,2019-12-20 03:58:32,2020-06-06 05:05:08,1576839342892-7471617,googleadwords_int,iOS WW actions first_buy,ios,af_purchase,26.99,18.80717
80,2020-06-03 12:11:58,2020-06-06 05:05:16,1591186316668-6097713534955453265,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,379,1.244173
81,2020-06-05 05:04:45,2020-06-06 05:06:11,1591333482787-1109145638938612166,Facebook Ads,doz_ak_andr_Tier-1_lkl_1%_m_18-40_purch_10$,android,af_purchase,3.79,3.79
82,2020-05-25 00:52:00,2020-06-06 05:15:33,1590367916939-4491743324976494239,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_ad-set-opt_purch-opt,android,af_purchase,2.49,2.49
83,2020-05-26 06:49:44,2020-06-06 05:18:16,1590475771546-5294396609911964975,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,1.49,1.49
84,2020-06-04 00:02:04,2020-06-06 05:19:16,1591228719953-0490737,Facebook Ads,DOZ_iOS_lkl-1_purch_val-based_campaign-opt_purch-opt,ios,af_purchase,2.99,2.99
85,2020-05-29 18:44:32,2020-06-06 05:19:18,1590777868729-8580724278618752570,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,android,af_purchase,39.99,1.50389
86,2020-03-27 10:50:16,2020-06-06 05:21:13,1585300257715-9466344,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,21.99,24.830006
87,2020-06-05 17:10:18,2020-06-06 05:23:22,1591376707551-5744957,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_ad-set-opt_purch-opt_all-in-1,ios,af_purchase,5.99,5.99
88,2020-06-04 21:51:19,2020-06-06 05:26:13,1591307475173-925760255120481232,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_all-OS_ad-set-opt_purch-opt_all-in-1,android,af_purchase,19.99,4.664893
89,2020-05-08 04:09:07,2020-06-06 05:33:42,1588901406686-1118484,unityads_int,DOZ_US_UA_ios_tablet_whitelist,ios,af_purchase,19.99,19.99
90,2020-03-23 17:25:07,2020-06-06 05:36:26,1584982999222-8446996,googleadwords_int,iOS US actions first_buy new,ios,af_purchase,4.99,4.99
91,2020-06-06 05:12:09,2020-06-06 05:36:27,1591420571446-3130074179590013839,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,219,3.197547
92,2020-05-29 13:32:38,2020-06-06 05:38:34,1590640102578-2322094,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_iOS_ad-set-opt_purch-opt,ios,af_purchase,120,1.09499
93,2020-06-05 18:20:18,2020-06-06 05:39:04,1591381214876-3505572222505460519,Facebook Ads,doz_ak_andr_Tier-1_lkl_1%_m_18-40_purch_10$,android,af_purchase,1.99,1.99
94,2020-06-05 22:16:21,2020-06-06 05:40:22,1591395379920-2480200485245102335,Facebook Ads,doz_ak_andr_Tier-1_lkl_1%_m_18-40_purch_10$,android,af_purchase,3.79,3.79
95,2020-06-05 15:49:18,2020-06-06 05:41:18,1591369710158-3468214,Facebook Ads,DOZ_iOS_lkl-1_purch_val-based_campaign-opt_purch-opt,ios,af_purchase,3.99,3.99
96,2020-05-07 16:32:28,2020-06-06 05:44:20,1588869017835-5896447,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,1.99,2.520733
97,2020-06-06 05:14:46,2020-06-06 05:48:15,1591420483605-4238139390640803008,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_all-OS_ad-set-opt_purch-opt_all-in-1,android,af_purchase,6.49,4.522361
98,2020-05-28 13:42:43,2020-06-06 05:53:09,1590672985445-6486652,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,ios,af_purchase,250,2.28123
99,2020-03-15 10:30:17,2020-06-06 05:53:11,1584267058304-3817882,googleadwords_int,iOS WW actions first_buy -county,ios,af_purchase,430,14.48543
100,2020-06-02 07:43:24,2020-06-06 05:55:16,1591083802345-7276136096924510152,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_Andr_ad-set-opt_value-opt_all-in-1,android,af_purchase,7.99,2.327919
101,2020-03-15 10:30:17,2020-06-06 05:56:14,1584267058304-3817882,googleadwords_int,iOS WW actions first_buy -county,ios,af_purchase,430,14.48543
102,2020-05-07 16:32:28,2020-06-06 05:57:21,1588869017835-5896447,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,4.99,6.320832
103,2020-05-07 16:32:28,2020-06-06 05:58:21,1588869017835-5896447,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,6.99,8.853189
104,2020-05-07 16:32:28,2020-06-06 05:59:25,1588869017835-5896447,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,4.99,6.320088
105,2020-05-07 16:32:28,2020-06-06 06:00:25,1588869017835-5896447,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,1.99,2.520436
106,2020-06-01 06:46:56,2020-06-06 06:01:35,1590993419968-0130972,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_iOS_campaign-opt_purch-opt,ios,af_purchase,12,1.694437
107,2020-06-06 05:14:46,2020-06-06 06:02:29,1591420483605-4238139390640803008,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_all-OS_ad-set-opt_purch-opt_all-in-1,android,af_purchase,3.99,2.780311
108,2020-05-24 03:40:33,2020-06-06 06:08:29,1590291633683-8594567854911529920,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_Andr_campaign-opt_purch-opt,android,af_purchase,12.49,12.49
109,2020-06-03 04:58:03,2020-06-06 06:09:33,1591160281795-3691589810395802213,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_all-OS_ad-set-opt_value-opt_all-in-1,android,af_purchase,24.99,5.855201
110,2020-05-19 15:35:28,2020-06-06 06:10:20,1589873046068-1788454,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,599,8.745802
111,2020-06-01 06:52:40,2020-06-06 06:13:32,1590994351452-3109192694739737352,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_ad-set-opt_purch-opt_all-in-1,android,af_purchase,5500,1.541048
112,2020-05-07 16:32:28,2020-06-06 06:14:04,1588869017835-5896447,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,4.99,6.320088
113,2020-06-01 06:52:40,2020-06-06 06:15:34,1590994351452-3109192694739737352,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_ad-set-opt_purch-opt_all-in-1,android,af_purchase,15000,4.202858
114,2020-06-03 04:30:29,2020-06-06 06:18:25,1591156289698-1775647,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,ios,af_purchase,89,2.825891
115,2020-06-01 04:49:25,2020-06-06 06:20:11,1590986958764-5505394634687445133,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,125,3.968949
116,2020-06-06 05:48:52,2020-06-06 06:20:21,1591422529928-174559035950934850,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_all-OS_ad-set-opt_value-opt_all-in-1,android,af_purchase,43,4.623845
117,2020-05-25 08:28:08,2020-06-06 06:22:32,1590395283079-8274379872941939464,Facebook Ads,DOZ_Andr_lkl-1_purch_180d_Andr_campaign-opt_purch-opt,android,af_purchase,7.99,1.872071
118,2020-06-04 12:29:08,2020-06-06 06:23:13,1591273744193-2850600989605356007,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_ad-set-opt_value-opt_all-in-1,android,af_purchase,1,1.039123
119,2020-06-02 03:20:35,2020-06-06 06:29:23,1591067548459-7058347,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,89.99,13.292467
120,2020-06-04 11:37:04,2020-06-06 06:33:36,1591270619491-1376416244147497226,googleadwords_int,Android WW roas,android,af_purchase,130,2.609637
121,2020-02-22 07:38:46,2020-06-06 06:34:18,1582335811447-5188573,googleadwords_int,iOS WW actions first_buy -county,ios,af_purchase,1.99,1.99
122,2020-04-01 17:13:33,2020-06-06 06:35:06,1585728340607-3464008,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,5.99,5.99
123,2020-04-01 17:13:33,2020-06-06 06:36:06,1585728340607-3464008,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,1.99,1.99
124,2020-05-24 09:44:25,2020-06-06 06:37:08,1590265913497-6635329,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,ios,af_purchase,1.99,2.520436
125,2020-06-03 03:37:55,2020-06-06 06:38:29,1591153910330-8658985,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,4.99,3.246793
126,2020-04-01 17:13:33,2020-06-06 06:39:30,1585728340607-3464008,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,10.99,10.99
127,2020-04-05 18:47:46,2020-06-06 06:40:27,1586111728015-0133850,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,29.99,29.99
128,2020-04-05 18:47:46,2020-06-06 06:41:31,1586111728015-0133850,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,29.99,29.99
129,2020-04-01 17:13:33,2020-06-06 06:41:32,1585728340607-3464008,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,5.99,5.99
130,2020-05-30 16:40:09,2020-06-06 06:42:24,1590848255733-3768925,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_iOS_ad-set-opt_value-opt_all-in-1,ios,af_purchase,2.29,2.585753
131,2020-04-01 17:13:33,2020-06-06 06:42:31,1585728340607-3464008,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,2.99,2.99
132,2020-04-01 17:13:33,2020-06-06 06:43:13,1585728340607-3464008,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,5.99,5.99
133,2020-05-21 17:33:42,2020-06-06 06:44:10,1590082143529-1245536,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,7500,9.78314
134,2020-06-06 01:57:36,2020-06-06 06:44:23,1591408655085-2849469878506258555,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_ad-set-opt_value-opt_all-in-1,android,af_purchase,4.19,4.731138
135,2020-04-05 18:47:46,2020-06-06 06:44:38,1586111728015-0133850,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,17.99,17.99
136,2020-05-07 16:32:28,2020-06-06 06:46:27,1588869017835-5896447,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,1.99,2.520436
137,2020-04-21 21:13:59,2020-06-06 06:51:29,1587503638288-831649557365477657,Facebook Ads,doz_ak_andr_WW_lkl_1%_m_18-40_purch_10$,android,af_purchase,899,13.126004
138,2020-06-03 18:11:17,2020-06-06 06:52:25,1591206663511-4337979,Apple Search Ads,iOS_US_AS_Brand,ios,af_purchase,0.99,0.99
139,2020-06-03 10:48:52,2020-06-04 13:05:34,1591178807005-6263475,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,ios,af_purchase,299,4.317214
140,2020-05-27 19:39:12,2020-06-04 13:11:24,1590608349796-1244327903481922801,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_ad-set-opt_purch-opt_all-in-1,android,af_purchase,6.99,6.99
141,2020-06-02 16:54:32,2020-06-04 13:14:30,1591116518666-6621103,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_ad-set-opt_value-opt_all-in-1,ios,af_purchase,12.99,12.99
142,2020-05-29 03:48:47,2020-06-04 13:16:10,1590724119281-3121726397129735161,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,1.79,2.010859
143,2020-05-31 05:37:20,2020-06-04 13:18:11,1590902808416-8731603,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_ad-set-opt_purch-opt_all-in-1,ios,af_purchase,2500,2.055536
144,2020-05-24 00:47:41,2020-06-04 13:18:30,1590281259352-6332471438257382452,Facebook Ads,doz_ak_andr_Tier-1_lkl_1%_m_18-40_purch_10$,android,af_purchase,1.49,1.49
145,2020-05-08 15:42:43,2020-06-04 13:20:18,1588952187280-6322604,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,79.99,55.309819
